TICKET_ID,CREATED_DATE,CLOSED_DATE,SERVICE_NAME,DISTRICT
T00000,2023-04-25,2023-04-28,Waste,Toronto-East York
T00001,2023-03-31,2023-04-02,Tree Maintenance,Scarborough
T00002,2023-04-06,2023-04-08,Waste,Scarborough
T00003,2024-03-05,2024-03-08,Waste,Etobicoke
T00004,2023-01-07,2023-01-09,Roads,North York
T00005,2023-08-09,2023-08-10,Parking Enforcement,North York
T00006,2023-04-05,2023-04-06,Roads,North York
T00007,2023-02-14,2023-02-17,Water,Etobicoke
T00008,2024-01-23,2024-01-26,Water,Toronto-West
T00009,2024-01-06,2024-01-08,Tree Maintenance,Toronto-East York
T00010,2023-02-16,2023-02-17,Parking Enforcement,Toronto-West
T00011,2023-04-14,2023-04-14,Roads,Etobicoke
T00012,2024-01-09,2024-01-11,Water,Toronto-East York
T00013,2023-03-15,2023-03-18,Tree Maintenance,Scarborough
T00014,2023-09-08,2023-09-10,Parking Enforcement,Toronto-East York
T00015,2023-08-13,2023-08-16,Water,Toronto-West
T00016,2023-02-27,2023-03-01,Roads,North York
T00017,2023-08-05,2023-08-07,Parking Enforcement,Etobicoke
T00018,2023-11-19,2023-11-21,Parking Enforcement,Toronto-East York
T00019,2023-05-27,2023-05-30,Waste,Scarborough
T00020,2023-09-27,2023-09-29,Tree Maintenance,North York
T00021,2023-05-22,2023-05-22,Tree Maintenance,Scarborough
T00022,2023-02-18,2023-02-20,Waste,Toronto-East York
T00023,2023-03-07,2023-03-08,Roads,Etobicoke
T00024,2024-04-24,2024-04-24,Parking Enforcement,Scarborough
T00025,2023-04-28,2023-04-29,Water,Etobicoke
T00026,2023-10-01,2023-10-03,Waste,Scarborough
T00027,2023-01-04,2023-01-05,Parking Enforcement,Toronto-West
T00028,2023-09-27,2023-10-01,Tree Maintenance,Scarborough
T00029,2023-11-02,2023-11-03,Animal Services,Etobicoke
T00030,2023-07-23,2023-07-26,Tree Maintenance,Toronto-East York
T00031,2024-06-27,2024-07-01,Parking Enforcement,Etobicoke
T00032,2024-05-15,2024-05-20,Parking Enforcement,Toronto-West
T00033,2023-11-11,2023-11-13,Waste,Scarborough
T00034,2023-03-22,2023-03-25,Waste,Toronto-East York
T00035,2023-05-09,2023-05-12,Waste,Etobicoke
T00036,2023-06-19,2023-06-21,Roads,Scarborough
T00037,2023-07-25,2023-07-29,Water,North York
T00038,2024-01-18,2024-01-18,Waste,Scarborough
T00039,2023-12-13,2023-12-15,Waste,Etobicoke
T00040,2023-08-14,2023-08-18,Waste,Scarborough
T00041,2023-02-02,2023-02-04,Parking Enforcement,Scarborough
T00042,2023-09-01,2023-09-03,Tree Maintenance,Toronto-East York
T00043,2024-04-29,2024-05-02,Waste,Etobicoke
T00044,2024-02-21,2024-02-23,Roads,North York
T00045,2024-04-23,2024-04-25,Parking Enforcement,Scarborough
T00046,2023-04-11,2023-04-15,Animal Services,Scarborough
T00047,2023-07-16,2023-07-19,Waste,North York
T00048,2024-03-08,2024-03-10,Parking Enforcement,Scarborough
T00049,2023-04-11,2023-04-14,Waste,York
T00050,2023-01-16,2023-01-21,Animal Services,Scarborough
T00051,2024-05-12,2024-05-13,Roads,Toronto-West
T00052,2023-03-02,2023-03-04,Roads,York
T00053,2024-04-10,2024-04-12,Waste,Toronto-East York
T00054,2024-05-13,2024-05-15,Parking Enforcement,Etobicoke
T00055,2023-03-04,2023-03-07,Water,Scarborough
T00056,2024-05-03,2024-05-03,Waste,York
T00057,2023-03-24,2023-03-26,Parking Enforcement,Scarborough
T00058,2023-03-11,2023-03-12,Waste,Toronto-West
T00059,2023-09-10,2023-09-11,Tree Maintenance,Scarborough
T00060,2023-03-25,2023-03-25,Tree Maintenance,York
T00061,2023-07-29,2023-08-01,Water,North York
T00062,2023-09-29,2023-09-29,Waste,North York
T00063,2023-03-16,2023-03-19,Waste,Toronto-East York
T00064,2023-04-13,2023-04-16,Waste,York
T00065,2023-03-12,2023-03-14,Parking Enforcement,North York
T00066,2023-06-11,2023-06-11,Roads,York
T00067,2024-06-25,2024-06-27,Waste,Toronto-West
T00068,2023-11-03,2023-11-05,Parking Enforcement,North York
T00069,2023-04-20,2023-04-22,Water,Scarborough
T00070,2023-10-16,2023-10-16,Waste,Toronto-East York
T00071,2023-09-28,2023-09-29,Tree Maintenance,North York
T00072,2023-02-22,2023-02-25,Waste,Scarborough
T00073,2023-05-14,2023-05-17,Water,North York
T00074,2024-03-28,2024-03-28,Waste,Scarborough
T00075,2023-06-02,2023-06-03,Tree Maintenance,Toronto-West
T00076,2023-06-01,2023-06-02,Roads,York
T00077,2023-02-10,2023-02-12,Parking Enforcement,Scarborough
T00078,2023-09-13,2023-09-14,Tree Maintenance,Toronto-West
T00079,2023-06-08,2023-06-09,Parking Enforcement,Scarborough
T00080,2023-06-16,2023-06-20,Parking Enforcement,Scarborough
T00081,2023-12-07,2023-12-08,Animal Services,North York
T00082,2023-09-12,2023-09-14,Waste,Toronto-West
T00083,2024-04-26,2024-04-30,Waste,Toronto-West
T00084,2024-04-16,2024-04-16,Parking Enforcement,Scarborough
T00085,2023-07-17,2023-07-21,Roads,North York
T00086,2023-03-13,2023-03-16,Water,North York
T00087,2023-12-06,2023-12-08,Parking Enforcement,Scarborough
T00088,2023-09-25,2023-09-28,Waste,Scarborough
T00089,2024-03-20,2024-03-25,Roads,Toronto-West
T00090,2024-03-22,2024-03-23,Roads,Etobicoke
T00091,2023-09-18,2023-09-19,Waste,North York
T00092,2024-06-16,2024-06-19,Water,Toronto-East York
T00093,2023-07-21,2023-07-22,Roads,Scarborough
T00094,2023-12-05,2023-12-05,Waste,York
T00095,2024-06-03,2024-06-03,Roads,North York
T00096,2024-02-17,2024-02-18,Waste,Toronto-East York
T00097,2024-01-24,2024-01-24,Water,York
T00098,2023-11-05,2023-11-05,Roads,Scarborough
T00099,2023-11-26,2023-11-29,Roads,North York
T00100,2023-08-07,2023-08-07,Parking Enforcement,Toronto-East York
T00101,2023-03-28,2023-03-30,Waste,Toronto-East York
T00102,2023-12-10,2023-12-14,Waste,North York
T00103,2023-07-23,2023-07-27,Waste,Scarborough
T00104,2024-05-01,2024-05-01,Roads,Toronto-West
T00105,2023-07-19,2023-07-19,Water,North York
T00106,2024-02-14,2024-02-16,Waste,Toronto-East York
T00107,2023-04-20,2023-04-24,Animal Services,Scarborough
T00108,2024-06-14,2024-06-14,Parking Enforcement,Scarborough
T00109,2023-05-17,2023-05-19,Animal Services,Toronto-East York
T00110,2023-11-21,2023-11-25,Tree Maintenance,Toronto-East York
T00111,2024-05-31,2024-06-01,Roads,York
T00112,2024-04-01,2024-04-05,Roads,North York
T00113,2023-09-11,2023-09-12,Animal Services,North York
T00114,2024-06-17,2024-06-18,Roads,Toronto-East York
T00115,2023-08-29,2023-08-31,Waste,North York
T00116,2023-03-24,2023-03-26,Water,Toronto-East York
T00117,2023-03-07,2023-03-10,Roads,North York
T00118,2024-04-22,2024-04-23,Roads,York
T00119,2023-01-21,2023-01-23,Parking Enforcement,Toronto-East York
T00120,2024-01-25,2024-01-25,Waste,North York
T00121,2024-03-05,2024-03-07,Tree Maintenance,Toronto-East York
T00122,2023-08-14,2023-08-15,Roads,North York
